target_id	SRR25223640	SRR25223641	SRR25223642	SRR25223643	SRR25223644	SRR25223645	SRR25223646	SRR25223647	SRR25223648	SRR25223649	SRR25223650	SRR25223651	SRR25223652	SRR25223653	SRR25223654	SRR25223655
KH.C1.1031.v1.A.nonSL3-1	0	0	0	0	0	2	0	0	0	0	0	132	0	0	0	2
KH.C1.1031.v1.A.nonSL4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL5-1	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	36
KH.C1.1031.v1.A.nonSL6-1	301	711	611	650	451	662	1136	748	443	436	663	354	473	582	1137	1038
KH.C1.1031.v1.A.nonSL7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL9-1	0	0	0	0	0	0	0	0	0	0	59	0	15	0	45	0
KH.C1.1032.v1.A.SL1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1032.v1.A.SL2-1	12114	15525	7452	9733	6478	6384	9188	7025	13663	12494	8176	10424	4420	5822	7873	7635
KH.C1.1033.v1.A.SL1-1	376	132	399	281	370	734	1176	1003	171	199	345	376	152	295	320	700
KH.C1.1033.v1.A.SL2-1	32	349	0	160	0	0	0	16	3	160	0	0	3	0	0	0
KH.C1.1033.v1.A.SL3-1	2	20	284	8	569	411	628	270	218	8	311	0	920	601	1005	504
KH.C1.1034.v1.B.SL1-1	415	553	536	656	200	317	536	439	700	493	416	637	216	215	542	445
KH.C1.1035.v1.A.SL1-1	0	62	0	0	6	7	0	0	0	0	0	0	1	0	0	0
KH.C1.1035.v1.A.SL2-1	332	91	3	630	0	0	3	0	392	145	5	513	0	3	3	2
KH.C1.1036.v1.A.ND1-1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
KH.C1.1037.v1.A.SL1-1	548	913	71	286	106	9	9	0	651	589	97	420	9	9	9	0
KH.C1.1037.v2.A.SL2-1	0	0	76	0	56	111	205	135	0	2	133	0	223	26	40	68
KH.C1.1038.v1.A.ND1-1	21	80	43	44	2	0	0	6	42	51	38	38	0	2	1	4
KH.C1.1039.v1.A.SL1-1	553	101	45	136	0	0	0	0	147	158	56	162	0	0	0	0
KH.C1.1039.v1.A.SL2-1	0	0	0	16	0	0	0	0	0	0	0	32	0	0	0	0
KH.C1.1039.v1.A.SL8-1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
KH.C1.1039.v1.A.nonSL10-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL11-1	1510	0	0	0	5	12	8	6	0	43	0	0	3	14	16	0
KH.C1.1039.v1.A.nonSL12-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1039.v1.A.nonSL16-1	0	188	40	113	0	0	0	0	725	142	76	449	0	0	0	3
