target_id	length	eff_length	est_counts	tpm
KH.C1.1022.v1.A.nonSL21-1	363	170.92	0	0
KH.C1.1022.v1.A.nonSL3-1	337	149.229	0	0
KH.C1.1022.v1.A.nonSL5-1	335	147.607	0	0
KH.C1.1022.v1.A.nonSL6-1	388	192.665	0	0
KH.C1.1022.v1.A.nonSL7-1	336	148.406	0	0
KH.C1.1022.v1.A.nonSL8-1	361	169.266	0	0
KH.C1.1022.v1.A.nonSL9-1	333	145.962	0	0
KH.C1.1023.v1.A.SL1-1	2443	2232.87	19965	671.429
KH.C1.1024.v1.A.SL1-1	1554	1343.87	175.413	9.80168
KH.C1.1024.v1.A.SL2-1	1572	1361.87	453.587	25.0103
KH.C1.1025.v1.A.SL2-1	3879	3668.87	2804	57.3905
KH.C1.1025.v2.A.ND1-1	3762	3551.87	3.37882e-06	7.14335e-08
KH.C1.1025.v2.R.ND1-1	3762	3551.87	3.37882e-06	7.14335e-08
KH.C1.1026.v1.A.ND1-1	2226	2015.87	0	0
KH.C1.1026.v1.A.SL2-1	2186	1975.87	116	4.40853
KH.C1.1026.v1.A.SL3-1	740	530.358	0	0
KH.C1.1027.v1.A.ND1-1	2171	1960.87	0	0
KH.C1.1027.v1.A.nonSL2-1	1996	1785.87	0	0
KH.C1.1027.v1.A.nonSL3-1	2026	1815.87	271.409	11.2237
KH.C1.1027.v1.A.nonSL4-1	1985	1774.87	0	0
KH.C1.1027.v1.A.nonSL5-1	1991	1780.87	0	0
KH.C1.1027.v1.A.nonSL6-1	2002	1791.87	0	0
KH.C1.1027.v1.A.nonSL7-1	2019	1808.87	2083.03	86.4736
KH.C1.1027.v1.A.nonSL8-1	1986	1775.87	3402.56	143.876
KH.C1.1028.v1.A.ND1-1	1220	1009.87	12	0.8923
KH.C1.1029.v1.A.SL1-1	3278	3067.87	1409	34.488
KH.C1.103.v1.A.ND1-1	615	406.628	102.702	18.966
KH.C1.1030.v1.A.ND1-1	1013	802.867	281	26.2819
KH.C1.1031.v1.A.ND2-1	701	491.566	0	0
KH.C1.1031.v1.A.SL1-1	643	434.186	0	0
KH.C1.1031.v1.A.nonSL10-1	690	480.672	0	0
KH.C1.1031.v1.A.nonSL11-1	664	454.911	0	0
KH.C1.1031.v1.A.nonSL12-1	645	436.164	0	0
KH.C1.1031.v1.A.nonSL13-1	648	439.113	0	0
KH.C1.1031.v1.A.nonSL14-1	636	427.303	0.557883	0.0980395
KH.C1.1031.v1.A.nonSL15-1	685	475.731	0	0
KH.C1.1031.v1.A.nonSL16-1	640	431.234	1.06504e-06	1.85459e-07
KH.C1.1031.v1.A.nonSL3-1	673	463.854	0	0
KH.C1.1031.v1.A.nonSL4-1	694	484.605	0	0
KH.C1.1031.v1.A.nonSL5-1	672	462.871	0	0
KH.C1.1031.v1.A.nonSL6-1	634	425.327	436.44	77.054
KH.C1.1031.v1.A.nonSL7-1	679	469.776	0	0
KH.C1.1031.v1.A.nonSL8-1	683	473.745	0	0
KH.C1.1031.v1.A.nonSL9-1	663	453.927	0	0
KH.C1.1032.v1.A.SL1-1	2058	1847.87	0	0
KH.C1.1032.v1.A.SL2-1	2113	1902.87	12494	493.043
KH.C1.1033.v1.A.SL1-1	1614	1403.87	199.382	10.6648
KH.C1.1033.v1.A.SL2-1	1657	1446.87	159.505	8.27826
KH.C1.1033.v1.A.SL3-1	1660	1449.87	8.11364	0.420225
KH.C1.1034.v1.B.SL1-1	1695	1484.87	493.338	24.9489
KH.C1.1035.v1.A.SL1-1	764	554.2	0	0
KH.C1.1035.v1.A.SL2-1	892	681.94	145.124	15.9803
KH.C1.1036.v1.A.ND1-1	611	402.713	0	0
KH.C1.1037.v1.A.SL1-1	3040	2829.87	588.505	15.6163
KH.C1.1037.v2.A.SL2-1	2720	2509.87	2.49542	0.0746599
KH.C1.1038.v1.A.ND1-1	871	660.974	51	5.79402
KH.C1.1039.v1.A.SL1-1	2839	2628.87	157.674	4.50385
KH.C1.1039.v1.A.SL2-1	2742	2531.87	0.000841282	2.49514e-05
KH.C1.1039.v1.A.SL8-1	2618	2407.87	0.196614	0.00613163
KH.C1.1039.v1.A.nonSL10-1	2624	2413.87	0.00548736	0.000170704
KH.C1.1039.v1.A.nonSL11-1	2566	2355.87	43.0859	1.37334
KH.C1.1039.v1.A.nonSL12-1	2619	2408.87	0.108219	0.00337354
KH.C1.1039.v1.A.nonSL13-1	2626	2415.87	0.00166778	5.18392e-05
KH.C1.1039.v1.A.nonSL14-1	2601	2390.87	1.08706e-05	3.41423e-07
KH.C1.1039.v1.A.nonSL15-1	2627	2416.87	0.000919783	2.85777e-05
KH.C1.1039.v1.A.nonSL16-1	2607	2396.87	142.286	4.45771
KH.C1.1039.v1.A.nonSL3-1	2629	2418.87	0.000279964	8.69128e-06
KH.C1.1039.v1.A.nonSL4-1	2625	2414.87	0.0030248	9.40584e-05
KH.C1.1039.v1.A.nonSL5-1	2605	2394.87	472.595	14.8184
KH.C1.1039.v1.A.nonSL6-1	2621	2410.87	0.0328099	0.00102194
KH.C1.1039.v1.A.nonSL7-1	2659	2448.87	8.2618e-08	2.5334e-09
KH.C1.1039.v1.A.nonSL9-1	2623	2412.87	0.00995719	0.000309883
KH.C1.104.v1.A.SL1-1	1269	1058.87	369	26.1685
KH.C1.1040.v1.A.SL1-1	847	636.997	4589.32	541.009
KH.C1.1040.v1.A.SL2-1	951	740.873	72.9528	7.39422
KH.C1.1040.v1.A.SL3-1	798	588.104	0	0
KH.C1.1040.v1.A.SL5-1	890	679.94	344.725	38.0711
KH.C1.1040.v1.A.nonSL4-1	818	608.061	0	0
KH.C1.1041.v1.A.SL1-1	1463	1252.87	440.25	26.3869
KH.C1.1042.v1.A.nonSL2-1	550	343.198	117.492	25.7074
KH.C1.1042.v2.A.ND1-1	1231	1020.87	3.44791	0.253618
KH.C1.1043.v1.A.ND1-1	3106	2895.87	415.409	10.7719
KH.C1.1043.v1.A.SL1-1	3106	2895.87	415.409	10.7719
KH.C1.1043.v2.A.SL2-1	2801	2590.87	0	0
KH.C1.1044.v1.A.SL1-1	2183	1972.87	1865	70.9864
KH.C1.1045.v1.A.SL1-1	2408	2197.87	1.15635e-06	3.95077e-08
KH.C1.1045.v1.A.SL2-1	2415	2204.87	130	4.42746
KH.C1.1046.v1.A.SL1-1	4550	4339.87	3750	64.8857
KH.C1.1047.v1.A.ND1-1	322	136.968	0	0
KH.C1.1048.v1.A.ND1-1	1093	882.867	5.41708	0.460748
KH.C1.1048.v1.A.SL2-1	930	719.889	7.58292	0.79098
KH.C1.1049.v1.A.ND1-1	991	780.867	0	0
KH.C1.1049.v1.A.SL4-1	987	776.867	0	0
KH.C1.1049.v2.A.ND2-1	964	753.873	0	0
KH.C1.1049.v2.A.nonSL3-1	972	761.867	0	0
KH.C1.1049.v2.R.ND2-1	964	753.873	0	0
KH.C1.105.v1.A.ND1-1	1557	1346.87	110.29	6.14901
KH.C1.1050.v1.A.ND1-1	126	19.3872	0	0
KH.C1.1051.v1.A.SL1-1	5584	5373.87	10.7693	0.150485
KH.C1.1051.v2.A.SL2-1	1072	861.867	0	0
KH.C1.1051.v3.A.SL3-1	1340	1129.87	6.45749	0.429171
KH.C1.1051.v4.A.SL4-1	5085	4874.87	22.7732	0.350797
KH.C1.1052.v1.A.ND1-1	1797	1586.87	0	0
KH.C1.1052.v1.A.SL2-1	1799	1588.87	16	0.756182
KH.C1.1052.v1.R.ND1-1	1797	1586.87	0	0
KH.C1.1053.v1.A.ND1-1	1931	1720.87	1.0002	0.0436447
KH.C1.1054.v1.A.SL1-1	3135	2924.87	1594	40.9238
KH.C1.1055.v1.A.ND1-1	1192	981.867	8.0652	0.616817
KH.C1.1056.v1.A.ND1-1	2118	1907.87	1510	59.4323
KH.C1.1057.v1.A.SL1-1	2025	1814.87	1047	43.3207
KH.C1.1058.v1.A.SL1-1	2584	2373.87	404	12.7796
KH.C1.1059.v1.A.ND1-1	2822	2611.87	603	17.3364
KH.C1.106.v1.A.ND2-1	2166	1955.87	190.07	7.29738
KH.C1.106.v2.A.ND1-1	2194	1983.87	98.1059	3.71344
KH.C1.1060.v1.A.ND1-1	1995	1784.87	79.6545	3.35118
KH.C1.1061.v1.A.ND1-1	1471	1260.87	54	3.21602
KH.C1.1062.v1.A.ND2-1	1510	1299.87	129.987	7.5092
KH.C1.1062.v1.A.SL1-1	1470	1259.87	489.013	29.1467
KH.C1.1063.v1.A.SL1-1	1649	1438.87	288.689	15.0662
KH.C1.1064.v1.A.SL1-1	1816	1605.87	6573.1	307.365
KH.C1.1065.v1.A.SL1-1	3121	2910.87	2710.88	69.9329
KH.C1.1066.v1.A.SL1-1	1523	1312.87	74	4.23258
KH.C1.1066.v1.A.nonSL2-1	1425	1214.87	0	0
KH.C1.1066.v1.A.nonSL3-1	1450	1239.87	0	0
KH.C1.1066.v1.A.nonSL4-1	1429	1218.87	0	0
KH.C1.1067.v1.A.SL1-1	1030	819.867	162	14.8377
KH.C1.1068.v1.B.ND1-1	1877	1666.87	9	0.405448
KH.C1.1069.v1.A.ND1-1	848	637.997	342.611	40.3252
KH.C1.107.v1.A.ND1-1	1859	1648.87	44	2.00383
KH.C1.1070.v1.A.ND1-1	723	513.445	26.8665	3.92926
KH.C1.1071.v1.A.ND1-1	949	738.873	53.649	5.45238
KH.C1.1072.v1.A.ND1-1	282	106.472	0	0
KH.C1.1072.v1.A.nonSL2-1	291	113.135	0	0
KH.C1.1072.v1.R.ND1-1	282	106.472	0	0
KH.C1.1073.v1.A.SL1-1	1225	1014.87	35.1156	2.59827
KH.C1.1074.v1.A.ND1-1	2453	2242.87	1016	34.0161
KH.C1.1074.v1.A.SL1-1	2453	2242.87	1016	34.0161
KH.C1.1075.v1.A.SL1-1	1570	1359.87	65.325	3.60726
KH.C1.1075.v1.A.SL2-1	1344	1133.87	0	0
KH.C1.1075.v1.A.SL3-1	1367	1156.87	0	0
KH.C1.1076.v1.A.SL1-1	3302	3091.87	326.523	7.93024
KH.C1.1076.v1.A.SL2-1	3315	3104.87	3577.69	86.5273
KH.C1.1076.v1.A.SL3-1	3298	3087.87	85.2559	2.07329
KH.C1.1077.v1.A.ND1-1	1631	1420.87	57.0307	3.01404
KH.C1.1077.v1.A.nonSL2-1	1568	1357.87	126.598	7.00104
KH.C1.1077.v1.A.nonSL3-1	1565	1354.87	92.9608	5.15225
KH.C1.1077.v2.A.ND1-1	1667	1456.87	80.436	4.14595
KH.C1.1077.v2.A.nonSL2-1	1604	1393.87	176.918	9.53113
KH.C1.1077.v2.A.nonSL3-1	1601	1390.87	131.057	7.07567
KH.C1.1078.v1.A.ND1-1	2139	1928.87	36.2008	1.40932
KH.C1.1079.v1.A.ND2-1	2003	1792.87	0	0
KH.C1.1079.v1.A.SL4-1	1487	1276.87	27.435	1.61344
KH.C1.1079.v1.A.SL5-1	1489	1278.87	2.88982	0.169684
KH.C1.1079.v1.A.nonSL3-1	1585	1374.87	25.7603	1.40697
KH.C1.1079.v1.A.nonSL6-1	1584	1373.87	73.342	4.00869
KH.C1.1079.v2.A.ND1-1	1399	1188.87	11.5728	0.730969
KH.C1.1079.v3.A.SL7-1	815	605.065	0	0
KH.C1.108.v1.A.ND1-1	1216	1005.87	45.7213	3.41328
KH.C1.108.v1.A.SL1-1	1216	1005.87	45.7213	3.41328
KH.C1.108.v1.A.SL2-1	1194	983.867	66.5575	5.07989
KH.C1.1080.v1.A.SL1-1	1086	875.867	0.000662293	5.67813e-05
KH.C1.1080.v1.A.SL2-1	1157	946.867	0	0
KH.C1.1080.v1.A.SL3-1	1117	906.867	0	0
KH.C1.1080.v1.A.SL4-1	1080	869.867	12.9993	1.12218
KH.C1.1081.v1.A.SL1-1	2921	2710.87	1176	32.5756
KH.C1.1082.v1.A.ND1-1	1583	1372.87	0	0
KH.C1.1082.v1.A.nonSL2-1	1557	1346.87	92	5.12929
KH.C1.1083.v1.A.SL1-1	3916	3705.87	4769.72	96.649
KH.C1.1084.v1.A.SL1-1	567	359.669	5	1.04391
KH.C1.1084.v1.A.nonSL2-1	538	331.649	0	0
KH.C1.1084.v1.A.nonSL3-1	536	329.703	0	0
KH.C1.1085.v1.A.SL1-1	3408	3197.87	88	2.06641
KH.C1.1085.v2.A.SL2-1	19	9.625	0	0
KH.C1.1086.v1.A.ND1-1	3522	3311.87	142.233	3.22493
KH.C1.1086.v1.A.SL2-1	3528	3317.87	10.5344	0.238421
KH.C1.1086.v1.R.ND1-1	3522	3311.87	142.233	3.22493
KH.C1.1087.v1.A.ND1-1	2199	1988.87	3	0.113269
